under-five deaths,infant deaths,Adult Mortality,HIV/AIDS,Schooling,Income composition of resources,Diphtheria,BMI,Polio,Life expectancy
0.25535912366021274,0.26882377510289057,0.7915863161372273,-0.3234448000817086,-0.5799307226779374,-0.725400547673994,-0.7329517381766059,-0.9647145027421464,-3.2786378542507335,65.0
0.2740602388458842,0.2857863783534794,0.8560716672855837,-0.3234448000817086,-0.6105696137856246,-0.7400500666721693,-0.8598765017909258,-0.9898095063338158,-1.051482416251135,59.9
0.2927613540315556,0.30274898160406827,0.8318896606049501,-0.3234448000817086,-0.6412085048933118,-0.76934910466852,-0.7752599927147125,-1.0149045099254852,-0.8801627671742427,59.9
0.31769617427911756,0.32819288647995154,0.8641323361791282,-0.3234448000817086,-0.6718473960009991,-0.8035313156642623,-0.6483352291003927,-1.0399995135171545,-0.6660132058281275,59.5
0.3426309945266795,0.3451554897305404,0.888314342859762,-0.3234448000817086,-0.7637640693240613,-0.8474798726587883,-0.606026974562286,-1.0600755163904902,-0.6231832935589044,59.2
0.3737995198361319,0.37059939460642366,0.9205570184339401,-0.3234448000817086,-0.8556807426471236,-0.876778910655139,-0.6906434836384993,-1.0851705199821595,-0.7088431180973506,58.8
0.39873434008369385,0.39604329948230693,0.9366783562210292,-0.3234448000817086,-0.9475974159701852,-0.9451433326466241,-0.8175682472528192,-1.110265523573829,-0.8373328549050196,58.6
0.4236691603312557,0.4214872043581902,0.9850423695822966,-0.3234448000817086,-1.0088751981855602,-0.9500265056460159,-0.7752599927147125,-1.1353605271654983,-0.7945029426357966,58.1
0.44237027551692715,0.43844980760877905,1.049527720730653,-0.3234448000817086,-1.100791871508622,-1.037923619635068,-0.8175682472528192,-1.1604555307571678,-0.8373328549050196,57.5
0.4610713907025986,0.4554124108593679,1.049527720730653,-0.3234448000817086,-1.192708544831684,-1.0867553496289857,-1.0291095199433522,-1.185550534348837,-1.051482416251135,57.3
0.47353880082637956,0.46389371248466227,1.0172850451564748,-0.3234448000817086,-1.2539863270470586,-1.1307039066235118,-1.0291095199433522,-1.2106455379405063,-1.051482416251135,57.3
